Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Terstege 2022	https://pubmed.ncbi.nlm.nih.gov/35501905/	2022	Rat	Room temperature	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy with immunostaining for doublecortin	Hippocampus	Neuron	6 hours	General cell membrane	Perfusion fixation at 0 hour PMI compared to immersion fixation at 6 hour PMI	"We also qualitatively examined the appearance of doublecortin-labeled cells in each condition. Perfusion fixation resulted in labeled cells with clear morphology and consistent labeling, while delayed fixation compromised morphological detail. Some cell bodies appear condensed (and subsequently brightly labeled). In others, the normal pattern of cytoplasmic doublecortin labeling was present but often appeared weak and speckled following delayed perfusion, rendering identification of new neurons increasingly difficult. These observations were supported by decreased optical density of doublecortin staining in the outer granule cell layer of the dentate gyrus (Fig. 1e). A significant age by fixation interaction was present in the quantified optical density of this region. This simple analysis does not distinguish between degraded dendritic labeling versus fewer labeled cells but adds support to the overall finding of an interaction between PMI and age in the detection of neurogenesis." Also Figure 6. 	No	NA	3	1	1	3	3
Torres 1992	https://pubmed.ncbi.nlm.nih.gov/1475056/	1992	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for oxytocin (OT), vasopressin (AVP) and corticotropin releasing factor (CRF)	Hypothalamus	Multiple or no clear focus	6 hours	General cell membrane	0 hour PMI controls were perfused fixed, compared to 6 hour PMI cases were immersion fixed.	"The integrity of the cells was well preserved, with no apparent evidence of damage (pyknosis) or distortion... The topographical distribution of all labeled neurosecretory neurons was similar to that of prefixed brains. Within the PVN, neuronal perikarya of the magnocellular neurosecretory system were heavily labeled" 	No	NA	0	0	0	NA	0
Torres-Platas 2014	https://pubmed.ncbi.nlm.nih.gov/24447857/	2014	Mouse	Room temperature for 11 hours, before being placed for 32 h at 4°C	In situ	Immersion fixation or freezing	Light microscopy	Yes, immunostaining primarily	Immunostaining for IBA1	Multiple or no clear focus	Microglia	43 hours	General cell membrane		"As in brains harvested and fixed at time of death, brains fixed after a PMI of 43 h displayed ramified IBA1-IR microglia as the predominant phenotype in both gray and white matter. Furthermore, these cells displayed no noticeable degradation of their processes (Figure 8). Some reactive and amoeboid IBA1-IR cells were also observed following this PMI (approximately 6% and 4%, respectively). These scarce cells were found in both cortical gray and white matter, but rarely in association with any particular structure, such as blood vessels." ... "The great majority of IBA1-IR cells observed remained ramified, and did not display noticeable signs of degradation" ... "In order to determine whether the presence of different microglial phenotypes in human tissues may have resulted at least partly from postmortem factors, we recreated similar PMI conditions in the mouse. Although we observed a slight increase in reactive IBA1-IR cells following a PMI of 43 hours compared to immediate harvesting of the brain following sacrifice, the great majority (≥90%) of microglial cells remained of the ramified phenotype." Also Figure 8. 	No	NA	1	0	0	NA	0
Trojanowski 1989	https://pubmed.ncbi.nlm.nih.gov/2475725/	1989	Cow	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MAP2	Hippocampus	Neuron	24 hours	General cell membrane		"MAP2 immunoreactivity did not change in intensity and distribution over PMIs of 0.5-24 h (excluding the time required for the diffusion of fixatives into tissue, or for microwave irradiation), and the re-sponse of these tissues to enzymatic dephosphorylation also did not change during this time"	No	NA	0	0	0	NA	0
Tytell 1998	https://pubmed.ncbi.nlm.nih.gov/10343973/	1998	Rat	4°C	In situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin; immunostaining for heat shock proteins and ubiquitin	Cerebellum	Neuron	24 hours	General cell membrane		"Illustration of the similarity in appearance of rat cerebellum fixed immediately after death (left column) or following 24 h of storage at 4°C (right column). The upper pair of micrographs are of H&E-stained sections, and the lower pair were immunohistochemically stained with the anti-Hsc/Hsp70 antibody. The arrowheads in the lower micrographs indicate the occasional Purkinje cells ..."  "The top pair of micrographs in Fig. 3 show the H&E-stained specimens at two postmortem intervals. There is a slight loss of basophilia and corresponding increase in eosinophilia in all three layers shown, probably reflecting some breakdown of RNA. For the anti-Hsc/Hsp70-immunostained specimens shown in the bottom pair of micrographs in Fig. 3, there appeared to be a slight, overall decrease in the darkness of the immunoreaction, but the distribution and relative differences between the Purkinje cell staining and that of the granule cell and molecular layers remained the same." Also Figure 3. 	No	NA	1	1	1	NA	1
Van Nimwegen 1966	https://doi.org/10.1016/S0022-5320(66)80033-3	1966	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Staining with osmium tetroxide and lead hydroxide 	Cerebellum	Purkinje cell	30 minutes	General cell membrane		"At the resolving power of the present study, no changes in the configuration of the cell surface membrane can be seen."	No	NA	0	0	0	NA	0
Vrselja 2019	https://pubmed.ncbi.nlm.nih.gov/30996318/	2019	Pig	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Stratum oriens of CA1 Hippocampus	Neuron	10 hours	Synapse		"Quantification of presynaptic vesicles showed that the vesicular pool was maintained only in BEx and 1 h PMI conditions, but not in 10 h PMI" ... "Robust structures such as myelin, adherence junctions, and post-synaptic densities were preserved across all conditions, but there was evidence of vacuolization, cytoplasmic lysis, and membrane disruption in all groups, even in 1 h PMI controls" Also Figure 6a. 	No	NA	1	2	2	NA	2
Vrselja 2019	https://pubmed.ncbi.nlm.nih.gov/30996318/	2019	Pig	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	CA1 Hippocampus	Ependymal cell	10 hours	General cell membrane		"In 10 h PMI conditions ependymal cells have a lightened cytoplasm with numerous vacuoles (v) and swollen mitochondria (yellow). Although adherens junctions (aj) are preserved, the cell membrane is destroyed in several places"; Extended data Figure 9 	No	NA	3	2	2	NA	2
Vrselja 2019	https://pubmed.ncbi.nlm.nih.gov/30996318/	2019	Pig	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	CA1 Hippocampus	Oligodendrocyte	10 hours	General cell membrane		"Under 1 h PMI, 10 h PMI, and CP conditions, numerous cells in the hippocampal white matter contain segments of destroyed cytoplasm (pink), while oligodendrocytes have light cytoplasm with numerous vacuoles and swollen mitochondria (yellow). In 10 h PMI samples, mitochondria may not be visible, owing to extensive destruction" ... "[M]ost oligodendrocytes in BEx-perfused brains contained structurally normal cytoplasm with demarcated rough endoplasmic reticulum and mitochondria with electron-dense matrices; this was in contrast to the more marked cellular damage observed in control tissues" 	No	NA	2	2-3	2	NA	2
Vrselja 2019	https://pubmed.ncbi.nlm.nih.gov/30996318/	2019	Pig	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	CA1 Hippocampus	Multiple or no clear focus	10 hours	Myelinated axon		"Robust structures such as myelin, adherence junctions, and post-synaptic densities were preserved across all conditions, but there was evidence of vacuolization, cytoplasmic lysis, and membrane disruption in all groups, even in 1 h PMI controls... Overall, myelinated axons (MA) show similar morphology across all experimental groups."	No	NA	0	0-1	1	NA	1
Wenzlow 2021 	https://pubmed.ncbi.nlm.nih.gov/34109897/	2021	Horse	8°C or 22°C	Ex situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebrum	Multiple or no clear focus	6 hours	Neuropil	While they collect multiple other time points for both temperatures, they don't specify any major differences from one another; instead, they more emphasize the end points. For neuropil vacuolozation, they report that it starts at the 6 hour time point for both temperatures. 	Fig Supp 5 shows that vacuolization of neuropil begins to increase at 6 hours. "Vacuolation of neuropil (Suppl. Fig. 5F) exhibited a nonlinear trend, with the best fit line corresponding to a square-root relationship with time (p=0.012)."	No	NA	1	1	1	NA	1
Wenzlow 2021 	https://pubmed.ncbi.nlm.nih.gov/34109897/	2021	Horse	8°C or 22°C	Ex situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebrum	Multiple or no clear focus	72 hours	Neuropil		Fig Supp 5 shows that vacuolization of neuropil is not substantially more advanced at 72 hours than 6 hours. "Vacuolation of neuropil (Suppl. Fig. 5F) exhibited a nonlinear trend, with the best fit line corresponding to a square-root relationship with time (p=0.012)."	No	NA	1	2	2	NA	2
Wenzlow 2021 	https://pubmed.ncbi.nlm.nih.gov/34109897/	2021	Horse	8°C or 22°C	Ex situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebrum	Neuron	72 hours	General cell membrane		"Neuronal cytoplasmic swelling (Suppl. Fig. 5E) exhibited a significantly decreasing (p=0.014) linear relationship with time, suggesting continuous shrinkage." ... "In general, most of the changes that we observed in the cerebrum were subtle and were not present in large percentages of the fields examined" ... "Such chronology of events was not observed in equine brains; all autolytic changes in the brain were subtle, and no single most significant criterion stood out as a major marker of autolysis"	No	NA	1	0-1	0	NA	1
Williams 1978	https://pubmed.ncbi.nlm.nih.gov/73572/	1978	Mouse 	4°C	In situ 	Immersion fixation	Light microscopy	No	Golgi rapid impregnated pyramidal neurons	Forebrain	Pyramidal neuron	24 hours	Dendrite		"With fixation latencies of 24 hours, few cellular elements are impregnated in the superficial layers. The apical shafts of pyramidal neurons impregnated in the deep layers appear truncated and are varicose" ... "The dendrites of neurons demonstrating more advanced autolytic changes appear truncated, and varicosities occur more proximally. The density of dendritic spines is reduced on varicose segments" ... "[E]ven after fixation latencies as long as 24 hours a few neurons with apparently normal spine density and morphology may occasionally be found"	No	NA	3	2	2	NA	2
Williams 1978	https://pubmed.ncbi.nlm.nih.gov/73572/	1978	Mouse 	4°C	In situ 	Immersion fixation	Light microscopy	No	Golgi rapid impregnated pyramidal neurons	Forebrain	Pyramidal neuron	6 hours	Dendrite		"If fixation by immersion is delayed no more than 3 hours, there is no substantial change in the pattern of impregnation or the morphology of impregnated cellular elements in Golgi-rapid preparations (Table IV, Fig. 3). When fixation is delayed for 6 hours or longer, however, degenerative changes supervene. In addition, the selectivity and completeness of the impregnation become increasingly variable." ... "Low power photomicrographs of layers I-V of the adult mouse neocortex as seen with fixation within 5 minutes, 6 hours and 24 hours of death. Silver-chromate precipitate is seen at the pial surface. In tissue fixed by immersion within minutes of death, or after latencies of up to 6 hours, most impregnated cells are completely impregnated. The apical shafts of pyramidal neurons (arrows) are well demonstrated where they arborize in the superficial layers." ... "Changes in spine density and morphology. Despite delays in fixation for up to 6 hours, the dendritic spines of impregnated cortical pyramids are generally of normal density and morphology (Fig. 6). However, spines on the lightly impregnated basal and oblique dendritic branches mentioned above also appear to be impregnated incompletely with thin stalks and barely visible terminal enlargements. With delays beyond 6 hours, on the other hand, some spines appear abnormally thick with irregular expansions along their stalks. In some cases this appearance appears to be due to the coalescence of 2 or more filamentous spines." ... + Figure 6	No	NA	2	1	1	NA	1
Williams 1978	https://pubmed.ncbi.nlm.nih.gov/73572/	1978	Mouse 	4°C	In situ 	Immersion fixation	Light microscopy	No	Golgi rapid impregnated pyramidal neurons	Forebrain	Pyramidal neuron	3 hours	Dendrite		"If fixation by immersion is delayed no more than 3 hours, there is no substantial change in the pattern of impregnation or the morphology of impregnated cellular elements in Golgi-rapid preparations"	No	NA	0	0	0	NA	0
Williams 1978	https://pubmed.ncbi.nlm.nih.gov/73572/	1978	Mouse 	4°C	In situ 	Immersion fixation	Light microscopy	No	Golgi rapid impregnated pyramidal neurons	Forebrain	Pyramidal neuron	6 hours	Axon		"Changes in axonal morphology. Efferent axons and their collateral branches, as well as intracortical plexuses of thin, normally beaded axon terminals, are well impregnated at all levels of the cortex despite delays in fixation for as long as 6 hours. With greater latencies of fixation, axons are more lightly impregnated and beading becomes pronounced. Large axonal blebs, comparable to the “retraction bulbs” encountered after axonotomy (50), are not encountered. With latencies of more than 12 hours, axons in the superficial layers of the cortex impregnate less often than those in the deeper layers, and in some instances, axons do not impregnate at all (Fig. 3c)."	No	NA	0	0	0	NA	0
